都道府県,データ配信元,報告日時,地域名,予報日時,天気,風,波
北海道,釧路地方気象台,2022-05-13T17:00:00+09:00,釧路地方,2022-05-13T17:00:00+09:00,くもり　夜のはじめ頃　雨,南の風　後　やや強く,１．５メートル　後　２メートル
北海道,釧路地方気象台,2022-05-13T17:00:00+09:00,釧路地方,2022-05-14T00:00:00+09:00,くもり　明け方　まで　雨,南東の風　やや強く　後　西の風　やや強く　海上　では　後　南西の風　強く,２．５メートル　後　３メートル
北海道,釧路地方気象台,2022-05-13T17:00:00+09:00,釧路地方,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,南の風　後　やや強く,３メートル　後　２メートル
北海道,釧路地方気象台,2022-05-13T17:00:00+09:00,根室地方,2022-05-13T17:00:00+09:00,くもり　夜のはじめ頃　雨,南の風　後　やや強く,１．５メートル　後　２メートル
北海道,釧路地方気象台,2022-05-13T17:00:00+09:00,根室地方,2022-05-14T00:00:00+09:00,くもり　明け方　まで　雨,南東の風　やや強く　後　西の風　やや強く　海上　では　南東の風　強く,２．５メートル　後　３メートル
北海道,釧路地方気象台,2022-05-13T17:00:00+09:00,根室地方,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,南東の風　後　南の風,３メートル　後　２メートル
北海道,釧路地方気象台,2022-05-13T17:00:00+09:00,十勝地方,2022-05-13T17:00:00+09:00,くもり　夜遅く　雨,南東の風　海上　では　南の風　やや強く,１．５メートル　後　２メートル
北海道,釧路地方気象台,2022-05-13T17:00:00+09:00,十勝地方,2022-05-14T00:00:00+09:00,くもり　明け方　まで　雨,南東の風　後　西の風　やや強く　海上　では　後　西の風　強く,２メートル　後　３メートル
北海道,釧路地方気象台,2022-05-13T17:00:00+09:00,十勝地方,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,西の風,３メートル　後　１．５メートル
北海道,旭川地方気象台,2022-05-13T17:00:00+09:00,上川地方,2022-05-13T17:00:00+09:00,雨　夜遅く　くもり,南の風,
北海道,旭川地方気象台,2022-05-13T17:00:00+09:00,上川地方,2022-05-14T00:00:00+09:00,くもり　昼過ぎ　まで　時々　雨,南の風　後　西の風　やや強く,
北海道,旭川地方気象台,2022-05-13T17:00:00+09:00,上川地方,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,南西の風　後　西の風,
北海道,旭川地方気象台,2022-05-13T17:00:00+09:00,留萌地方,2022-05-13T17:00:00+09:00,雨　夜のはじめ頃　くもり,東の風　海上　では　後　北東の風　やや強く,１メートル
北海道,旭川地方気象台,2022-05-13T17:00:00+09:00,留萌地方,2022-05-14T00:00:00+09:00,雨　夕方　から　くもり　所により　夕方　まで　霧,南東の風　後　西の風　やや強く,１メートル　後　１．５メートル
北海道,旭川地方気象台,2022-05-13T17:00:00+09:00,留萌地方,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,西の風　やや強く,１．５メートル　後　２メートル
北海道,札幌管区気象台,2022-05-13T17:00:00+09:00,石狩地方,2022-05-13T17:00:00+09:00,くもり　夜遅く　雨,南東の風　後　南の風　海上　では　北東の風　やや強く,１メートル
北海道,札幌管区気象台,2022-05-13T17:00:00+09:00,石狩地方,2022-05-14T00:00:00+09:00,くもり　昼前　まで　時々　雨,南の風　後　やや強く,１メートル　後　１．５メートル
北海道,札幌管区気象台,2022-05-13T17:00:00+09:00,石狩地方,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,西の風,１．５メートル　後　２メートル
北海道,札幌管区気象台,2022-05-13T17:00:00+09:00,空知地方,2022-05-13T17:00:00+09:00,くもり　夜遅く　雨,南の風,
北海道,札幌管区気象台,2022-05-13T17:00:00+09:00,空知地方,2022-05-14T00:00:00+09:00,くもり　昼過ぎ　まで　時々　雨,南の風　後　やや強く,
北海道,札幌管区気象台,2022-05-13T17:00:00+09:00,空知地方,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,南の風,
北海道,札幌管区気象台,2022-05-13T17:00:00+09:00,後志地方,2022-05-13T17:00:00+09:00,くもり　夜遅く　雨,東の風　後　南東の風　海上　では　北東の風　やや強く,１メートル
北海道,札幌管区気象台,2022-05-13T17:00:00+09:00,後志地方,2022-05-14T00:00:00+09:00,くもり　昼前　まで　時々　雨,南東の風　後　西の風　海上　では　南東の風　やや強く,１メートル　後　１．５メートル
北海道,札幌管区気象台,2022-05-13T17:00:00+09:00,後志地方,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,西の風　後　南西の風,１．５メートル　後　２メートル
青森,青森地方気象台,2022-05-13T17:00:00+09:00,津軽,2022-05-13T17:00:00+09:00,くもり　夜遅く　雨,西の風　後　南西の風,０．５メートル
青森,青森地方気象台,2022-05-13T17:00:00+09:00,津軽,2022-05-14T00:00:00+09:00,くもり　昼前　一時　雨,西の風　日中　やや強く,０．５メートル　後　１．５メートル
青森,青森地方気象台,2022-05-13T17:00:00+09:00,津軽,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,西の風　やや強く,１．５メートル
青森,青森地方気象台,2022-05-13T17:00:00+09:00,下北,2022-05-13T17:00:00+09:00,くもり　夜遅く　雨,北の風　海上　では　北東の風　やや強く,２メートル
青森,青森地方気象台,2022-05-13T17:00:00+09:00,下北,2022-05-14T00:00:00+09:00,くもり　所により　昼過ぎ　まで　雨,南の風　後　南西の風　やや強く,２メートル
青森,青森地方気象台,2022-05-13T17:00:00+09:00,下北,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,西の風,１．５メートル
青森,青森地方気象台,2022-05-13T17:00:00+09:00,三八上北,2022-05-13T17:00:00+09:00,くもり　夜遅く　雨,西の風　後　東の風　海上　では　南東の風　やや強く,２メートル
青森,青森地方気象台,2022-05-13T17:00:00+09:00,三八上北,2022-05-14T00:00:00+09:00,くもり　夕方　から　晴れ　所により　昼前　まで　雨,西の風　後　やや強く,２メートル
青森,青森地方気象台,2022-05-13T17:00:00+09:00,三八上北,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,西の風　やや強く,１．５メートル
岩手,盛岡地方気象台,2022-05-13T17:00:00+09:00,内陸,2022-05-13T17:00:00+09:00,くもり　夜のはじめ頃　雨,南の風,
岩手,盛岡地方気象台,2022-05-13T17:00:00+09:00,内陸,2022-05-14T00:00:00+09:00,くもり　朝　から　昼前　雨,南の風　後　西の風,
岩手,盛岡地方気象台,2022-05-13T17:00:00+09:00,内陸,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,南西の風　後　西の風,
岩手,盛岡地方気象台,2022-05-13T17:00:00+09:00,沿岸北部,2022-05-13T17:00:00+09:00,くもり　夜のはじめ頃　雨,南の風　後　西の風　海上　では　南東の風　やや強く,２メートル
岩手,盛岡地方気象台,2022-05-13T17:00:00+09:00,沿岸北部,2022-05-14T00:00:00+09:00,くもり　昼過ぎ　から　時々　晴れ　所により　昼前　まで　雨,西の風　海上　では　北西の風　やや強く,２メートル　後　２．５メートル
岩手,盛岡地方気象台,2022-05-13T17:00:00+09:00,沿岸北部,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,西の風,２メートル　後　１メートル
岩手,盛岡地方気象台,2022-05-13T17:00:00+09:00,沿岸南部,2022-05-13T17:00:00+09:00,雨　所により　霧,南の風,１．５メートル　後　２メートル
岩手,盛岡地方気象台,2022-05-13T17:00:00+09:00,沿岸南部,2022-05-14T00:00:00+09:00,くもり　昼過ぎ　から　時々　晴れ　所により　昼前　まで　雨,南の風　後　北西の風　海上　では　南西の風　やや強く,２メートル　後　２．５メートル
岩手,盛岡地方気象台,2022-05-13T17:00:00+09:00,沿岸南部,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,北西の風　後　南の風,２メートル　後　１メートル
宮城,仙台管区気象台,2022-05-13T17:00:00+09:00,東部,2022-05-13T17:00:00+09:00,雨　海上　では　霧,東の風　後　南東の風　海上　では　後　南の風　やや強く,１．５メートル　後　２メートル
宮城,仙台管区気象台,2022-05-13T17:00:00+09:00,東部,2022-05-14T00:00:00+09:00,くもり　後　晴れ　明け方　まで　雨,北西の風　後　西の風　やや強く,３メートル　後　２メートル
宮城,仙台管区気象台,2022-05-13T17:00:00+09:00,東部,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,北西の風　後　南の風,２メートル　後　１メートル
宮城,仙台管区気象台,2022-05-13T17:00:00+09:00,西部,2022-05-13T17:00:00+09:00,雨,東の風　後　北の風,
宮城,仙台管区気象台,2022-05-13T17:00:00+09:00,西部,2022-05-14T00:00:00+09:00,くもり　明け方　まで　雨,南の風　後　西の風　やや強く,
宮城,仙台管区気象台,2022-05-13T17:00:00+09:00,西部,2022-05-15T00:00:00+09:00,晴れ　時々　くもり,西の風,
秋田,秋田地方気象台,2022-05-13T17:00:00+09:00,沿岸,2022-05-13T17:00:00+09:00,くもり　夜のはじめ頃　雨,東の風,０．５メートル
秋田,秋田地方気象台,2022-05-13T17:00:00+09:00,沿岸,2022-05-14T00:00:00+09:00,雨　昼過ぎ　から　くもり,南東の風　後　西の風　海上　では　後　西の風　やや強く,０．５メートル　後　１．５メートル
秋田,秋田地方気象台,2022-05-13T17:00:00+09:00,沿岸,2022-05-15T00:00:00+09:00,くもり　時々　晴れ,西の風　やや強く,１．５メートル
秋田,秋田地方気象台,2022-05-13T17:00:00+09:00,内陸,2022-05-13T17:00:00+09:00,くもり　夜のはじめ頃　雨,東の風,
秋田,秋田地方気象台,2022-05-13T17:00:00+09:00,内陸,2022-05-14T00:00:00+09:00,くもり　朝　から　昼過ぎ　雨,東の風　後　西の風,
